Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2017-03-10;22,4754;22,4793;22,2672;22,279;7.979;178.845
2017-03-09;22,499;22,499;22,274;22,4096;6.819;152.989
2017-03-08;22,4342;22,5717;22,3919;22,496;4.718;106.227
2017-03-07;22,5825;22,5825;22,4538;22,4666;2.718;61.160
2017-03-06;22,4312;22,5275;22,3546;22,5265;11.495;258.079
2017-03-03;22,72;22,72;22,5177;22,5177;6.318;142.950
2017-03-02;22,7927;22,8212;22,7426;22,7514;3.044;69.317
2017-03-01;22,4793;22,8575;22,4793;22,8438;12.426;281.527
2017-02-28;22,4283;22,4283;22,3281;22,3703;6.468;144.653
2017-02-27;22,4597;22,4626;22,3526;22,3526;5.109;114.566
2017-02-24;22,3143;22,4459;22,1994;22,4459;7.115;158.214
2017-02-23;22,389;22,4735;22,2878;22,4145;2.228;49.869
2017-02-22;22,4784;22,5501;22,4361;22,4774;4.559;102.577
2017-02-21;22,223;22,4685;22,223;22,4685;6.358;142.403
2017-02-20;22,4607;22,4607;22,1689;22,2377;2.992;66.526
2017-02-17;22,0069;22,3968;21,9646;22,3968;1.930;42.525
2017-02-16;22,1729;22,1729;21,996;22,0069;3.883;85.770
2017-02-15;22,1955;22,2328;22,1061;22,2328;5.905;131.037
2017-02-14;21,9685;22,1247;21,9253;22,1247;5.165;113.598
2017-02-13;21,7907;22,0167;21,7907;22,0167;4.588;100.330
2017-02-10;21,7406;21,83;21,7053;21,7848;7.703;167.478
2017-02-09;21,4725;21,6876;21,4558;21,6876;1.960;42.231
2017-02-08;21,498;21,5678;21,3811;21,4253;4.218;90.552
2017-02-07;21,3408;21,5442;21,3408;21,4656;5.290;113.714
2017-02-06;21,3959;21,4086;21,3497;21,385;2.254;48.204
2017-02-03;21,1964;21,611;21,1964;21,611;2.869;61.143
2017-02-02;21,00;21,1709;20,998;21,1709;1.007;21.174
2017-02-01;21,1964;21,2711;21,1198;21,1198;2.145;45.420
2017-01-31;21,278;21,3035;20,9685;21,1198;7.044;149.137
2017-01-30;21,3703;21,4931;21,2181;21,279;3.209;68.439
2017-01-27;21,5019;21,5127;21,4076;21,4459;2.553;54.802
2017-01-26;21,4646;21,5717;21,4224;21,5717;4.091;87.785
2017-01-25;21,3074;21,4263;21,2436;21,4263;4.749;101.193
2017-01-24;21,055;21,3084;21,0363;21,2888;3.009;63.764
2017-01-23;21,1061;21,1984;21,0147;21,1169;7.145;150.643
2017-01-20;21,2515;21,3438;21,1522;21,2151;3.010;64.043
2017-01-19;21,3163;21,39;21,22;21,22;4.316;91.865
2017-01-18;21,2063;21,2966;21,1984;21,2544;5.233;111.240
2017-01-17;21,2662;21,2672;21,1198;21,1611;5.280;111.811
2017-01-16;21,3507;21,4626;21,3507;21,4312;2.599;55.555
2017-01-13;21,332;21,4234;21,2917;21,4234;586;12.511
2017-01-12;21,2544;21,2642;21,1306;21,2642;3.906;82.734
2017-01-11;21,5069;21,6532;21,3163;21,4754;1.092;23.502
2017-01-10;21,3998;21,5245;21,3615;21,5245;1.415;30.302
2017-01-09;21,7672;21,7672;21,4951;21,4951;12.705;276.120
2017-01-06;21,3959;21,6797;21,3566;21,6797;1.436;30.703
2017-01-05;21,6542;21,6542;21,3281;21,3968;1.580;33.965
2017-01-04;21,6454;21,7023;21,6287;21,7023;1.660;35.958
2017-01-03;21,5245;21,9057;21,5245;21,9057;4.090;88.786
2017-01-02;21,278;21,6149;21,278;21,4852;2.658;57.142
2016-12-30;21,3104;21,3546;21,3006;21,3084;2.218;47.321
2016-12-29;21,5039;21,5245;21,3507;21,3811;1.473;31.541
2016-12-28;21,6905;21,8114;21,6905;21,7357;865;18.827
2016-12-27;21,7141;21,7298;21,6228;21,7053;1.980;42.929
