Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2017-01-20;34,2374;34,2374;34,2374;34,2374;;
2017-01-19;34,2661;34,2661;34,2661;34,2661;;
2017-01-18;34,2852;34,2852;34,2852;34,2852;;
2017-01-17;34,2183;34,2183;34,2183;34,2183;;
2017-01-16;34,2757;34,2757;34,2757;34,2757;;
2017-01-13;34,553;34,553;34,553;34,553;;
2017-01-12;34,2278;34,2278;34,2278;34,2278;;
2017-01-11;34,4574;34,4574;34,4574;34,4574;;
2017-01-10;34,3809;34,3809;34,3809;34,3809;;
2017-01-09;34,333;34,333;34,333;34,333;;
2017-01-06;34,5052;34,5052;34,5052;34,5052;;
2017-01-05;34,5243;34,5243;34,5243;34,5243;;
2017-01-04;34,4861;34,4861;34,4861;34,4861;;
2017-01-03;34,5243;34,5243;34,5243;34,5243;;
2017-01-02;34,2948;34,2948;34,2948;34,2948;;
2016-12-30;34,1226;34,1226;34,1226;34,1226;;
2016-12-29;34,0079;34,0079;34,0079;34,0079;;
2016-12-28;34,1226;34,1226;34,1226;34,1226;;
2016-12-27;34,027;34,027;34,027;34,027;;
2016-12-23;33,9792;33,9792;33,9792;33,9792;;
2016-12-22;33,9601;33,9601;33,9601;33,9601;;
2016-12-21;34,0366;34,0366;34,0366;34,0366;;
2016-12-20;34,1035;34,1035;34,1035;34,1035;;
2016-12-19;33,9314;33,9314;33,9314;33,9314;;
2016-12-16;33,9696;33,9696;33,9696;33,9696;;
2016-12-15;33,8549;33,8549;33,8549;33,8549;;
2016-12-14;33,5599;33,5599;33,5599;33,5599;;
2016-12-13;33,7311;33,7311;33,7311;33,7311;;
2016-12-12;33,3888;33,3888;33,3888;33,3888;;
2016-12-09;33,5314;33,5314;33,5314;33,5314;;
2016-12-08;33,2176;33,2176;33,2176;33,2176;;
2016-12-07;32,8087;32,8087;32,8087;32,8087;;
2016-12-06;32,5043;32,5043;32,5043;32,5043;;
2016-12-05;32,20;32,20;32,20;32,20;;
2016-12-02;32,0098;32,0098;32,0098;32,0098;;
2016-12-01;32,1525;32,1525;32,1525;32,1525;;
2016-11-30;32,5709;32,5709;32,5709;32,5709;;
2016-11-29;32,1525;32,1525;32,1525;32,1525;;
2016-11-28;32,0384;32,0384;32,0384;32,0384;;
2016-11-25;32,2951;32,2951;32,2951;32,2951;;
2016-11-24;32,2381;32,2381;32,2381;32,2381;;
2016-11-23;32,124;32,124;32,124;32,124;;
2016-11-22;32,143;32,143;32,143;32,143;;
2016-11-21;32,0669;32,0669;32,0669;32,0669;;
2016-11-18;31,9908;31,9908;31,9908;31,9908;;
2016-11-17;32,1049;32,1049;32,1049;32,1049;;
2016-11-16;31,8957;31,8957;31,8957;31,8957;;
2016-11-15;31,9623;31,9623;31,9623;31,9623;;
2016-11-14;31,8577;31,8577;31,8577;31,8577;;
2016-11-11;31,7911;31,7911;31,7911;31,7911;;
2016-11-10;31,9243;31,9243;31,9243;31,9243;;
2016-11-09;31,9908;31,9908;31,9908;31,9908;;
2016-11-08;31,5344;31,5344;31,5344;31,5344;;
2016-11-07;31,4393;31,4393;31,4393;31,4393;;
2016-11-04;30,9543;30,9543;30,9543;30,9543;;
2016-11-03;31,2205;31,2205;31,2205;31,2205;;
2016-11-02;31,211;31,211;31,211;31,211;;
2016-11-01;31,5629;31,5629;31,5629;31,5629;;
2016-10-31;31,9052;31,9052;31,9052;31,9052;;
2016-10-28;32,0764;32,0764;32,0764;32,0764;;
2016-10-27;32,162;32,162;32,162;32,162;;
2016-10-26;32,162;32,162;32,162;32,162;;
2016-10-25;32,2856;32,2856;32,2856;32,2856;;
2016-10-24;32,3997;32,3997;32,3997;32,3997;;
2016-10-21;32,3997;32,3997;32,3997;32,3997;;
2016-10-20;32,3997;32,3997;32,3997;32,3997;;
2016-10-19;32,3332;32,3332;32,3332;32,3332;;
2016-10-18;32,2191;32,2191;32,2191;32,2191;;
2016-10-17;31,7341;31,7341;31,7341;31,7341;;
2016-10-14;31,9718;31,9718;31,9718;31,9718;;
2016-10-13;31,5629;31,5629;31,5629;31,5629;;
2016-10-12;31,8387;31,8387;31,8387;31,8387;;
2016-10-11;31,9908;31,9908;31,9908;31,9908;;
2016-10-10;32,162;32,162;32,162;32,162;;
2016-10-07;31,9433;31,9433;31,9433;31,9433;;
2016-10-06;32,2476;32,2476;32,2476;32,2476;;
2016-10-05;32,3712;32,3712;32,3712;32,3712;;
2016-10-04;32,5424;32,5424;32,5424;32,5424;;
2016-09-30;32,2476;32,2476;32,2476;32,2476;;
2016-09-29;32,2286;32,2286;32,2286;32,2286;;
2016-09-28;32,2095;32,2095;32,2095;32,2095;;
2016-09-27;31,9908;31,9908;31,9908;31,9908;;
2016-09-26;31,9623;31,9623;31,9623;31,9623;;
2016-09-23;32,4663;32,4663;32,4663;32,4663;;
2016-09-22;32,7041;32,7041;32,7041;32,7041;;
2016-09-21;32,1905;32,1905;32,1905;32,1905;;
2016-09-20;32,0479;32,0479;32,0479;32,0479;;
2016-09-19;32,0764;32,0764;32,0764;32,0764;;
2016-09-16;31,7436;31,7436;31,7436;31,7436;;
2016-09-15;31,6352;31,6352;31,6352;31,6352;;
2016-09-14;31,4537;31,4537;31,4537;31,4537;;
2016-09-13;31,4816;31,4816;31,4816;31,4816;;
2016-09-12;31,7978;31,7978;31,7978;31,7978;;
